"79349","307473","","Dexter","1","1.0","2006-10-01",""
"79349","308834","","Crocodile","1","2.0","2006-10-08",""
"79349","310842","","Popping Cherry","1","3.0","2006-10-15",""
"79349","310843","","Let's Give the Boy a Hand","1","4.0","2006-10-22",""
"79349","310844","","Love American Style","1","5.0","2006-10-29",""
"79349","310845","","Return to Sender","1","6.0","2006-11-05",""
"79349","310846","","Circle of Friends","1","7.0","2006-11-12",""
"79349","310847","","Shrink Wrap","1","8.0","2006-11-19",""
"79349","310848","","Father Knows Best","1","9.0","2006-11-26",""
"79349","310849","","Seeing Red","1","10.0","2006-12-03",""
"79349","310850","","Truth Be Told","1","11.0","2006-12-10",""
"79349","310851","","Born Free","1","12.0","2006-12-17",""
"79349","327630","","It's Alive!","2","1.0","2007-09-30",""
"79349","331788","","Waiting to Exhale","2","2.0","2007-10-07",""
"79349","337023","","An Inconvenient Lie","2","3.0","2007-10-14",""
"79349","338044","","See-Through","2","4.0","2007-10-21",""
"79349","338045","","The Dark Defender","2","5.0","2007-10-28",""
"79349","341102","","Dex, Lies, and Videotape","2","6.0","2007-11-04",""
"79349","341298","","That Night, A Forest Grew","2","7.0","2007-11-11",""
"79349","341299","","Morning Comes","2","8.0","2007-11-18",""
"79349","341300","","Resistance Is Futile","2","9.0","2007-11-25",""
"79349","341301","","There's Something About Harry","2","10.0","2007-12-02",""
"79349","341302","","Left Turn Ahead","2","11.0","2007-12-09",""
"79349","341303","","The British Invasion","2","12.0","2007-12-16",""
"79349","385674","","Our Father","3","1.0","2008-09-28",""
"79349","385711","","Finding Freebo","3","2.0","2008-10-05",""
"79349","385782","","The Lion Sleeps Tonight","3","3.0","2008-10-12",""
"79349","385783","","All In the Family","3","4.0","2008-10-19",""
"79349","385784","","Turning Biminese","3","5.0","2008-10-26",""
"79349","385785","","Si Se Puede","3","6.0","2008-11-02",""
"79349","385786","","Easy As Pie","3","7.0","2008-11-09",""
"79349","385787","","The Damage a Man Can Do","3","8.0","2008-11-16",""
"79349","385788","","About Last Night","3","9.0","2008-11-23",""
"79349","402901","","Go Your Own Way","3","10.0","2008-11-30",""
"79349","402902","","I Had a Dream","3","11.0","2008-12-07",""
"79349","402904","","Do You Take Dexter Morgan?","3","12.0","2008-12-14",""
"79349","446798","","Living The Dream","4","1.0","2009-09-27",""
"79349","644501","","Remains to Be Seen","4","2.0","2009-10-04",""
"79349","644511","","Blinded By The Light","4","3.0","2009-10-11",""
"79349","644521","","Dex Takes a Holiday","4","4.0","2009-10-18",""
"79349","997641","","Dirty Harry","4","5.0","2009-10-25",""
"79349","997651","","If I Had a Hammer","4","6.0","2009-11-01",""
